Year,Units,Time series,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,"Per 100,000 inhabitants",Mortality due to road traffic accidents,14 years and younger,,,,,0.31
2022,"Per 100,000 inhabitants",Mortality due to road traffic accidents,14 years and younger,,,,,0.36
2023,"Per 100,000 inhabitants",Mortality due to road traffic accidents,14 years and younger,,,,,0.21
2024,"Per 100,000 inhabitants",Mortality due to road traffic accidents,14 years and younger,,,,,0.45
2010,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,8.66
2011,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,9.63
2012,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,8.59
2013,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,6.73
2014,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,6.85
2015,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,5.96
2016,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,5.41
2017,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,4.86
2018,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,4.77
2019,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,4.5
2020,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,4.21
2021,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,3.66
2022,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,3.51
2023,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,3.39
2024,"Per 100,000 inhabitants",Mortality due to road traffic accidents,15 to under 25 years,,,,,4.01
2010,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,5.23
2011,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,5.65
2012,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,4.91
2013,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,4.36
2014,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,4.18
2015,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,3.89
2016,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,3.28
2017,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,3.22
2018,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,3.19
2019,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,2.95
2020,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,2.85
2021,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,2.37
2022,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,2.4
2023,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,2.47
2024,"Per 100,000 inhabitants",Mortality due to road traffic accidents,25 to under 35 years,,,,,2.38
2010,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,3.46
2011,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,3.9
2012,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,3.42
2013,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,3.42
2014,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,2.94
2015,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,3.24
2016,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,2.69
2017,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,2.54
2018,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,2.68
2019,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,2.33
2020,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,2.09
2021,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,1.77
2022,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,1.99
2023,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,2.24
2024,"Per 100,000 inhabitants",Mortality due to road traffic accidents,35 to under 45 years,,,,,2.27
2010,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,4.45
2011,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,4.8
2012,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,4.33
2013,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,4.03
2014,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,3.95
2015,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,3.94
2016,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,3.46
2017,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,3.47
2018,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,3.32
2019,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,2.96
2020,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,2.54
2021,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,2.61
2022,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,2.74
2023,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,2.43
2024,"Per 100,000 inhabitants",Mortality due to road traffic accidents,45 to under 55 years,,,,,2.7
2010,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.8
2011,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,4.29
2012,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,4.15
2013,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.74
2014,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.92
2015,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.95
2016,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.39
2017,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.59
2018,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,4.15
2019,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.61
2020,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.32
2021,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.02
2022,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.3
2023,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.2
2024,"Per 100,000 inhabitants",Mortality due to road traffic accidents,55 to under 65 years,,,,,3.22
2010,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,4.68
2011,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,5.39
2012,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,5.12
2013,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,4.87
2014,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,4.58
2015,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,4.23
2016,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,4.17
2017,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,3.87
2018,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,4.12
2019,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,3.83
2020,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,3.39
2021,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,3.43
2022,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,3.86
2023,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,3.73
2024,"Per 100,000 inhabitants",Mortality due to road traffic accidents,65 to under 75 years,,,,,4.41
2010,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,7.8
2011,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,8.99
2012,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,8.65
2013,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,7.97
2014,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,7.68
2015,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,7.95
2016,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,7.91
2017,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,7.18
2018,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,7.31
2019,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,7.05
2020,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,6.14
2021,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,5.72
2022,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,6.98
2023,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,7.21
2024,"Per 100,000 inhabitants",Mortality due to road traffic accidents,75 years and older,,,,,7.23
2010,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,2.49
2011,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,2.66
2012,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,2.45
2013,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,2.21
2014,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,2.04
2015,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,2.04
2016,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,1.93
2017,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,1.81
2018,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,1.74
2019,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,1.6
2020,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,1.42
2021,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,1.17
2022,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,1.43
2023,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,1.5
2024,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Female,,,,1.54
2010,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,6.99
2011,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,7.91
2012,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,7.21
2013,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,6.51
2014,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,6.49
2015,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,6.27
2016,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,5.65
2017,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,5.37
2018,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,5.73
2019,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,5.19
2020,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,4.69
2021,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,4.45
2022,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,4.78
2023,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,4.61
2024,"Per 100,000 inhabitants",Mortality due to road traffic accidents,,Male,,,,4.97
2010,Number,Mortality due to road traffic accidents,,,,,,3839.0
2011,Number,Mortality due to road traffic accidents,,,,,,4197.0
2012,Number,Mortality due to road traffic accidents,,,,,,3847.0
2013,Number,Mortality due to road traffic accidents,,,,,,3482.0
2014,Number,Mortality due to road traffic accidents,,,,,,3422.0
2015,Number,Mortality due to road traffic accidents,,,,,,3377.0
2016,Number,Mortality due to road traffic accidents,,,,,,3094.0
2017,Number,Mortality due to road traffic accidents,,,,,,2934.0
2018,Number,Mortality due to road traffic accidents,,,,,,3050.0
2019,Number,Mortality due to road traffic accidents,,,,,,2774.0
2020,Number,Mortality due to road traffic accidents,,,,,,2491.0
2021,Number,Mortality due to road traffic accidents,,,,,,2292.0
2022,Number,Mortality due to road traffic accidents,,,,,,2544.0
2023,Number,Mortality due to road traffic accidents,,,,,,2533.0
2024,Number,Mortality due to road traffic accidents,,,,,,2703.0
2010,Number,Mortality due to road traffic accidents,14 years and younger,,,,,102.0
2011,Number,Mortality due to road traffic accidents,14 years and younger,,,,,89.0
2012,Number,Mortality due to road traffic accidents,14 years and younger,,,,,75.0
2013,Number,Mortality due to road traffic accidents,14 years and younger,,,,,54.0
2014,Number,Mortality due to road traffic accidents,14 years and younger,,,,,74.0
2015,Number,Mortality due to road traffic accidents,14 years and younger,,,,,63.0
2016,Number,Mortality due to road traffic accidents,14 years and younger,,,,,66.0
2017,Number,Mortality due to road traffic accidents,14 years and younger,,,,,48.0
2018,Number,Mortality due to road traffic accidents,14 years and younger,,,,,59.0
2019,Number,Mortality due to road traffic accidents,14 years and younger,,,,,44.0
2020,Number,Mortality due to road traffic accidents,14 years and younger,,,,,36.0
2021,Number,Mortality due to road traffic accidents,14 years and younger,,,,,35.0
2022,Number,Mortality due to road traffic accidents,14 years and younger,,,,,41.0
2023,Number,Mortality due to road traffic accidents,14 years and younger,,,,,25.0
2024,Number,Mortality due to road traffic accidents,14 years and younger,,,,,52.0
2010,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,796.0
2011,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,852.0
2012,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,754.0
2013,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,583.0
2014,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,589.0
2015,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,518.0
2016,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,467.0
2017,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,415.0
2018,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,402.0
2019,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,375.0
2020,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,346.0
2021,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,297.0
2022,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,288.0
2023,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,282.0
2024,Number,Mortality due to road traffic accidents,15 to under 25 years,,,,,335.0
2010,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,510.0
2011,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,546.0
2012,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,483.0
2013,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,437.0
2014,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,426.0
2015,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,408.0
2016,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,344.0
2017,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,337.0
2018,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,333.0
2019,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,305.0
2020,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,291.0
2021,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,240.0
2022,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,245.0
2023,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,254.0
2024,Number,Mortality due to road traffic accidents,25 to under 35 years,,,,,244.0
2010,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,410.0
2011,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,422.0
2012,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,357.0
2013,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,347.0
2014,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,292.0
2015,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,321.0
2016,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,264.0
2017,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,251.0
2018,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,268.0
2019,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,236.0
2020,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,214.0
2021,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,184.0
2022,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,210.0
2023,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,243.0
2024,Number,Mortality due to road traffic accidents,35 to under 45 years,,,,,250.0
2010,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,588.0
2011,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,639.0
2012,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,583.0
2013,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,547.0
2014,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,535.0
2015,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,529.0
2016,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,457.0
2017,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,446.0
2018,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,412.0
2019,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,353.0
2020,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,291.0
2021,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,287.0
2022,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,298.0
2023,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,258.0
2024,Number,Mortality due to road traffic accidents,45 to under 55 years,,,,,279.0
2010,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,377.0
2011,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,442.0
2012,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,438.0
2013,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,403.0
2014,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,431.0
2015,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,443.0
2016,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,389.0
2017,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,421.0
2018,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,499.0
2019,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,444.0
2020,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,416.0
2021,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,385.0
2022,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,424.0
2023,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,416.0
2024,Number,Mortality due to road traffic accidents,55 to under 65 years,,,,,420.0
2010,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,443.0
2011,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,482.0
2012,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,448.0
2013,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,417.0
2014,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,385.0
2015,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,349.0
2016,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,341.0
2017,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,320.0
2018,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,344.0
2019,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,325.0
2020,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,299.0
2021,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,312.0
2022,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,356.0
2023,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,353.0
2024,Number,Mortality due to road traffic accidents,65 to under 75 years,,,,,426.0
2010,Number,Mortality due to road traffic accidents,75 years and older,,,,,578.0
2011,Number,Mortality due to road traffic accidents,75 years and older,,,,,689.0
2012,Number,Mortality due to road traffic accidents,75 years and older,,,,,687.0
2013,Number,Mortality due to road traffic accidents,75 years and older,,,,,658.0
2014,Number,Mortality due to road traffic accidents,75 years and older,,,,,663.0
2015,Number,Mortality due to road traffic accidents,75 years and older,,,,,713.0
2016,Number,Mortality due to road traffic accidents,75 years and older,,,,,731.0
2017,Number,Mortality due to road traffic accidents,75 years and older,,,,,670.0
2018,Number,Mortality due to road traffic accidents,75 years and older,,,,,687.0
2019,Number,Mortality due to road traffic accidents,75 years and older,,,,,667.0
2020,Number,Mortality due to road traffic accidents,75 years and older,,,,,571.0
2021,Number,Mortality due to road traffic accidents,75 years and older,,,,,524.0
2022,Number,Mortality due to road traffic accidents,75 years and older,,,,,638.0
2023,Number,Mortality due to road traffic accidents,75 years and older,,,,,658.0
2024,Number,Mortality due to road traffic accidents,75 years and older,,,,,664.0
2010,Number,Mortality due to road traffic accidents,,Female,,,,1038.0
2011,Number,Mortality due to road traffic accidents,,Female,,,,1092.0
2012,Number,Mortality due to road traffic accidents,,Female,,,,1008.0
2013,Number,Mortality due to road traffic accidents,,Female,,,,909.0
2014,Number,Mortality due to road traffic accidents,,Female,,,,839.0
2015,Number,Mortality due to road traffic accidents,,Female,,,,846.0
2016,Number,Mortality due to road traffic accidents,,Female,,,,803.0
2017,Number,Mortality due to road traffic accidents,,Female,,,,755.0
2018,Number,Mortality due to road traffic accidents,,Female,,,,727.0
2019,Number,Mortality due to road traffic accidents,,Female,,,,666.0
2020,Number,Mortality due to road traffic accidents,,Female,,,,592.0
2021,Number,Mortality due to road traffic accidents,,Female,,,,488.0
2022,Number,Mortality due to road traffic accidents,,Female,,,,600.0
2023,Number,Mortality due to road traffic accidents,,Female,,,,635.0
2024,Number,Mortality due to road traffic accidents,,Female,,,,653.0
2010,Number,Mortality due to road traffic accidents,,Male,,,,2801.0
2011,Number,Mortality due to road traffic accidents,,Male,,,,3103.0
2012,Number,Mortality due to road traffic accidents,,Male,,,,2837.0
2013,Number,Mortality due to road traffic accidents,,Male,,,,2569.0
2014,Number,Mortality due to road traffic accidents,,Male,,,,2577.0
2015,Number,Mortality due to road traffic accidents,,Male,,,,2529.0
2016,Number,Mortality due to road traffic accidents,,Male,,,,2282.0
2017,Number,Mortality due to road traffic accidents,,Male,,,,2174.0
2018,Number,Mortality due to road traffic accidents,,Male,,,,2322.0
2019,Number,Mortality due to road traffic accidents,,Male,,,,2103.0
2020,Number,Mortality due to road traffic accidents,,Male,,,,1898.0
