Year,Units,Zeitreihe,Art der Empfänger/Bereitsteller,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2016,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2017,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2018,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2019,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2020,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2021,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2022,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2023,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2024,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2025,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2026,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1.0
2007,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,35.0
2008,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,409.0
2009,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,905.0
2010,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1495.0
2011,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,2687.0
2012,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,3916.0
2013,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,5034.0
2014,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,6089.0
2015,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,7311.0
2016,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,8367.0
2017,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,8754.0
2018,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,9153.0
2019,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,9518.0
2020,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,9903.0
2021,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,10564.0
2022,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,11398.0
2023,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,13261.0
2024,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,15195.0
2025,Kumulierte Anzahl,SMTA empfangen von Deutschland,,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,16574.0
2026,Kumulierte Anzahl,SMTA empfangen von Deutschland,,p,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,16677.0
2007,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,
2008,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2009,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2010,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2011,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2012,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2013,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2014,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2015,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2016,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,5.0
2017,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,6.0
2018,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,19.0
2019,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,30.0
2020,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,38.0
2021,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,38.0
2022,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,38.0
2023,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,38.0
2024,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,41.0
2025,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,44.0
2026,Kumulierte Anzahl,SMTA empfangen von Deutschland,Kommerzielles Unternehmen,p,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,44.0
2007,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,
2008,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2009,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2010,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2011,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2012,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2013,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2014,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2015,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2016,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2017,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2018,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2019,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2020,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,3.0
2021,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,4.0
2022,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,4.0
2023,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,5.0
2024,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,7.0
2025,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,10.0
2026,Kumulierte Anzahl,SMTA empfangen von Deutschland,Genbank,p,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,10.0
2007,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,
2008,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2009,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2010,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2011,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2012,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2013,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2014,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2015,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2016,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2017,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2018,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2019,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2020,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,2.0
2021,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,2.0
2022,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,2.0
2023,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,4.0
2024,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,4.0
2025,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,5.0
2026,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nationales Agrarforschungszentrum,p,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,5.0
2007,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,
2008,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2009,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2010,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2011,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2012,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2013,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2014,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2015,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2016,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2017,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2018,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2019,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2020,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2021,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2022,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2023,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2024,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,1.0
2025,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,6.0
2026,Kumulierte Anzahl,SMTA empfangen von Deutschland,Nichtregierungsorganisation,p,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,6.0
2007,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,
2008,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2009,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2010,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2011,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2012,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2013,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2014,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2015,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,‒,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,0.0
2016,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,2.0
2017,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,3.0
2018,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,3.0
2019,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,3.0
2020,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,4.0
2021,Kumulierte Anzahl,SMTA empfangen von Deutschland,Andere,,,,5) Anzahl der standardisierten Materialübertragungs-vereinbarungen,4.0
